sample,date,equipment,pipestance_path
chromium_controller,20211226,chromium,X://Labs//Blaser//staff//single_cell//vignettes//scRNAseq_vignette//chromium_controller
chromium_X,20211226,X,X://Labs//Blaser//staff//single_cell//vignettes//scRNAseq_vignette//chromium_X
