gene_id,gene_short_name,cluster_method,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000162444,RBP7,leiden,leiden 2,0.5958167892404524,1.4607243759602255,0.7189695550351288,0.8287093452953523,0.5902704520216889,4.555606949218071e-118,6.632599269505573e-113
ENSG00000169442,CD52,leiden,leiden 3,0.39350898981403826,17.877566593499036,1,0.39350898981403826,0.27693582836715547,3.4787969598264764e-31,5.0648500697505633e-26
ENSG00000182866,LCK,leiden,leiden 1,0.553933098611206,1.6601422498078457,0.7300509337860781,0.7587595234465124,0.5302912012134885,5.951492029164998e-115,8.664896275101904e-110
ENSG00000119535,CSF3R,leiden,leiden 2,0.5755710261736146,3.3723434631277325,0.9250585480093677,0.6221995650028693,0.6794491032512167,2.221016574513304e-141,3.2336224511654096e-136
ENSG00000162645,GBP2,leiden,leiden 2,0.5816871630045676,3.971587860086525,0.9742388758782201,0.5970683139494,0.5858122628044756,5.8813941285326384e-117,8.56283933961324e-112
ENSG00000116824,CD2,leiden,leiden 1,0.5421590657646762,2.726727175718902,0.799660441426146,0.6779866024106036,0.595807279535394,3.354628190078168e-133,4.884070274498607e-128
ENSG00000163131,CTSS,leiden,leiden 2,0.6359741306305435,47.39686026162552,1,0.6359741306305435,0.9669017081715794,1.088537034487045e-235,1.5848228392503786e-230
ENSG00000163220,S100A9,leiden,leiden 2,0.6309362535832782,132.40692050393784,1,0.6309362535832782,0.7999255054155822,9.944966369663238e-177,1.4479075436920102e-171
ENSG00000143546,S100A8,leiden,leiden 2,0.6333738283147374,73.50901966292665,0.9765807962529274,0.6485626491376328,0.6828391598298631,2.6095442180060793e-142,3.799287617879411e-137
ENSG00000160856,FCRL3,leiden,leiden 3,0.47281483706187893,1.5226315840909572,0.6055045871559633,0.7808608672688606,0.37444875430412333,1.948004310189998e-42,2.836138435291822e-37
ENSG00000132704,FCRL2,leiden,leiden 3,0.39477198839705757,0.9715163317331295,0.44036697247706424,0.8964613903183182,0.3455144970146102,4.769385316987169e-39,6.943843470707959e-34
ENSG00000163534,FCRL1,leiden,leiden 3,0.6373258512020157,1.7854689163213326,0.6880733944954128,0.9262469037469295,0.5872376526342705,8.055242090295633e-69,1.1727788064103218e-63
ENSG00000163563,MNDA,leiden,leiden 2,0.5914301565896858,15.91962581490414,0.9929742388758782,0.5956148039240468,0.8516282682301731,1.4690661907875734e-193,2.138842848491444e-188
ENSG00000179639,FCER1A,leiden,leiden 4,0.6361618416045017,1.9851570315306795,0.6571428571428571,0.9680723676590244,0.5530616094670393,7.689756395143755e-33,1.1195670130817696e-27
ENSG00000143226,FCGR2A,leiden,leiden 2,0.6268130784560693,3.205254739124022,0.9484777517564403,0.6608621839524483,0.7578861478841964,7.969094659040578e-164,1.1602364295990358e-158
ENSG00000132185,FCRLA,leiden,leiden 3,0.45340926692779293,0.9310517890811054,0.5504587155963303,0.8236935015854905,0.44971235643428126,1.8310780573819582e-51,2.6659031653035406e-46
ENSG00000198821,CD247,leiden,leiden 1,0.5757702051864294,1.8153439274567702,0.6740237691001698,0.8542283396846522,0.5041964686498095,4.923044461190238e-108,7.167558891936091e-103
ENSG00000213064,SFT2D2,leiden,leiden 4,0.45713548890956807,2.0523227564550837,0.9428571428571428,0.4848406700556025,0.18284656738195026,1.7863211607168482e-11,2.6007407043108736e-6
ENSG00000116191,RALGPS2,leiden,leiden 3,0.7695527491618867,5.497910642060434,0.926605504587156,0.8305074223628282,0.7507857440820564,4.019219007596437e-91,5.851661337539805e-86
ENSG00000116701,NCF2,leiden,leiden 2,0.5837403183323576,4.718181907634451,0.990632318501171,0.5892603213425927,0.8540945895389694,2.1650658395190845e-194,3.1521626570726255e-189
